2026-07-06 12:14:55,841 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:14:57,842 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:14:59,844 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:01,845 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:03,847 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:05,847 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:07,850 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:09,851 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:11,852 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:13,860 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:15,865 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:17,866 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:19,867 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:21,868 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:23,870 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:25,871 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:27,878 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:29,880 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:31,881 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:33,883 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:35,885 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:37,886 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:39,887 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:41,888 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:43,890 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:45,892 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:47,893 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:49,894 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:51,897 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:52,905 | WARNING | Task queue depth is 1
2026-07-06 12:15:53,898 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:55,900 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:57,901 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:15:59,901 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:01,903 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:03,905 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:05,907 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:07,909 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:09,910 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:11,911 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:13,908 | WARNING | Task queue depth is 2
2026-07-06 12:16:13,912 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:14,916 | WARNING | Task queue depth is 3
2026-07-06 12:16:15,906 | WARNING | Task queue depth is 4
2026-07-06 12:16:15,913 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:16,912 | WARNING | Task queue depth is 5
2026-07-06 12:16:17,921 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:19,942 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:21,959 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:23,968 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:25,969 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:27,970 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:29,971 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:31,973 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:33,973 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:35,976 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:37,978 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:39,980 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:41,982 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:43,983 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:45,984 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:47,986 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:49,988 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:51,989 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:53,990 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:55,991 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:57,992 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:16:59,994 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:01,995 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:04,001 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:06,003 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:08,004 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:10,005 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:12,007 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:14,007 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:16,011 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:18,013 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:20,014 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:22,015 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:24,018 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:26,020 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:28,022 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:30,024 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:32,025 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:34,027 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:36,028 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:38,029 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:40,033 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:42,035 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:44,039 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:46,040 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:48,043 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:50,045 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:52,047 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:54,048 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:56,050 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:17:58,051 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:18:00,053 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:18:02,055 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:18:04,056 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:18:06,057 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:18:08,059 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:20:43,938 | INFO | Fire/smoke model loaded
2026-07-06 12:20:44,053 | INFO | Human model loaded
2026-07-06 12:20:44,057 | WARNING | GPIO setup skipped/failed: [WinError 2] The system cannot find the file specified
2026-07-06 12:20:44,059 | WARNING | Serial device not found
2026-07-06 12:20:44,059 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:20:44,063 | INFO | Server running on 0.0.0.0:8000
2026-07-06 12:20:44,069 | INFO | Serving on http://0.0.0.0:8000
2026-07-06 12:20:46,069 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:20:48,073 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:20:50,075 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:20:52,077 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:20:54,077 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:20:56,078 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:20:58,080 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:00,081 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:02,082 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:04,083 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:06,084 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:08,086 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:10,088 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:12,089 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:14,090 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:16,091 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:18,093 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:20,094 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:22,095 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:24,099 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:26,101 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:28,103 | WARNING | Camera not opened. Reconnecting...
2026-07-06 12:21:30,104 | WARNING | Camera not opened. Reconnecting...
